date,ticker,open,high,low,close,adj_close,volume,downloaded_at,source,1d_no_calendar_simple_return,7d_no_calendar_rolling_return,30d_no_calendar_rolling_return,1d_no_calendar_log_return,cumulative_returns_no_calendar,1d_no_calendar_lagged_returns,5d_no_calendar_lagged_returns,1d_business_calendar_simple_return,7d_business_calendar_rolling_return,30d_business_calendar_rolling_return,1d_business_calendar_log_return,cumulative_returns_business_calendar,1d_business_calendar_lagged_returns,5d_business_calendar_lagged_returns,market_calendar,1d_exchange_calendar_simple_return,7d_exchange_calendar_rolling_return,30d_exchange_calendar_rolling_return,1d_exchange_calendar_log_return,cumulative_returns_exchange_calendar,1d_exchange_calendar_lagged_returns,5d_exchange_calendar_lagged_returns,no_calendar_20d_adj_close_ma,business_calendar_20d_adj_close_ma,exchange_calendar_20d_adj_close_ma,no_calendar_50d_adj_close_ma,business_calendar_50d_adj_close_ma,exchange_calendar_50d_adj_close_ma
2021-05-27,SPY,420.1700134277344,420.7200012207031,418.989990234375,419.2900085449219,391.6096801757813,56707700,2026-05-17 16:56:22.201389,yfinance,0.0005250464464165994,0.01784224930225098,0.008223704111333552,0.0005249086577593389,0.6554199689666755,0.0019844328155704805,0.01075784121066281,0.0005250464464165994,0.01784224930225098,0.008223704111333552,0.0005249086577593389,0.6654756584914159,0.0019844328155704805,0.01075784121066281,NYSE,0.0005250464464165994,0.01784224930225098,0.008223704111333552,0.0005249086577593389,0.6554199689666755,0.0019844328155704805,0.01075784121066281,388.3870025634766,388.3870025634766,388.3870025634766,382.79145874023436,,382.79145874023436
2021-05-28,SPY,420.9700012207031,421.25,419.7900085449219,420.0400085449219,392.3102416992188,58520200,2026-05-17 16:56:22.201389,yfinance,0.0017889280038303479,0.022343404428249336,0.006662810273687869,0.0017873297779190814,0.65838139610726,0.0005250464464165994,-0.0008187549165816765,0.0017889280038303479,0.022343404428249336,0.006662810273687869,0.0017873297779190814,0.6684550745365889,0.0005250464464165994,-0.0008187549165816765,NYSE,0.0017889280038303479,0.022343404428249336,0.006662810273687869,0.0017873297779190814,0.65838139610726,0.0005250464464165994,-0.0008187549165816765,388.51495819091804,388.514958190918,388.514958190918,383.34882202148435,,383.34882202148435
2021-06-01,SPY,422.5700073242188,422.7200012207031,419.2000122070313,419.6700134277344,391.9646301269531,54216600,2026-05-17 16:56:22.201389,yfinance,-0.0008809649494969651,0.010571191314368233,0.010741536427593346,-0.0008813532271741848,0.6569204202243917,0.0017889280038303479,0.010194473072813848,,0.011399279447042776,0.0181964840071156,,,,-0.0022189488063270035,NYSE,-0.0008809649494969651,0.010571191314368233,0.010741536427593346,-0.0008813532271741848,0.6569204202243917,0.0017889280038303479,0.010194473072813848,388.5836059570313,,388.58360595703124,383.91276000976563,,383.91276000976563
2021-06-02,SPY,420.3699951171875,421.2300109863281,419.2900085449219,420.3299865722656,392.5811462402344,49097100,2026-05-17 16:56:22.201389,yfinance,0.0015728871073943385,0.012990096334112744,0.019797992129604758,0.00157165141603368,0.659526568991341,-0.0008809649494969651,-0.0022189488063270035,0.0015728871073943385,0.0027674109647375378,0.010238877562880333,0.00157165141603368,0.6710793660125942,,0.0019844328155704805,NYSE,0.0015728871073943385,0.012990096334112744,0.019797992129604758,0.00157165141603368,0.659526568991341,-0.0008809649494969651,-0.0022189488063270035,388.80356140136723,,388.8035614013672,384.4309356689453,,384.4309356689453
2021-06-03,SPY,417.8500061035156,419.989990234375,416.2799987792969,418.7699890136719,391.1240234375,58138800,2026-05-17 16:56:22.201389,yfinance,-0.003711647430574061,-0.0009545081196330463,0.006489227028708022,-0.0037185526857757565,0.6533669914655749,0.0015728871073943385,0.0019844328155704805,-0.003711647430574061,0.0012672526554611263,0.01576645621688111,-0.0037185526857757565,0.6648769085774482,0.0015728871073943385,0.0005250464464165994,NYSE,-0.003711647430574061,-0.0009545081196330463,0.006489227028708022,-0.0037185526857757565,0.6533669914655749,0.0015728871073943385,0.0019844328155704805,388.9445922851563,,388.94459228515626,384.9776892089844,,384.9776892089844
2021-06-04,SPY,420.75,422.9200134277344,418.8399963378906,422.6000061035156,394.7012023925781,55938800,2026-05-17 16:56:22.201389,yfinance,0.009145894245101927,0.010424737059331557,0.02505654880316266,0.009104323827846445,0.6684885111178613,-0.003711647430574061,0.0005250464464165994,0.009145894245101927,0.008423588198914533,0.014061536471247749,0.009104323827846445,0.6801036967144098,-0.003711647430574061,0.0017889280038303479,NYSE,0.009145894245101927,0.010424737059331557,0.02505654880316266,0.009104323827846445,0.6684885111178613,-0.003711647430574061,0.0005250464464165994,389.10944366455084,,389.1094436645508,385.6329724121094,,385.6329724121094
2021-06-07,SPY,422.5899963378906,422.7799987792969,421.1900024414063,422.1900024414063,394.31829833984375,51555000,2026-05-17 16:56:22.201389,yfinance,-0.0009701111889532932,0.0074453051927982905,0.01307778402842974,-0.0009705820513633191,0.6668698917445859,0.009145894245101927,0.0017889280038303479,-0.0009701111889532932,0.006916627195851399,0.010967345677321827,-0.0009705820513633191,0.6784738093196254,0.009145894245101927,,NYSE,-0.0009701111889532932,0.0074453051927982905,0.01307778402842974,-0.0009705820513633191,0.6668698917445859,0.009145894245101927,0.0017889280038303479,389.11271362304694,,389.1127136230469,386.2398742675781,,386.2398742675781
2021-06-08,SPY,423.1099853515625,423.2099914550781,420.3200073242188,422.2799987792969,394.4023742675781,47134300,2026-05-17 16:56:22.201389,yfinance,0.00021321842807786595,0.007131320376307482,0.011182902545605167,0.00021319570025943237,0.6672252991227139,-0.0009701111889532932,-0.0008809649494969651,0.00021321842807786595,0.005332852283686629,0.01140099611100065,0.00021319570025943237,0.6788316908668184,-0.0009701111889532932,,NYSE,0.00021321842807786595,0.007131320376307482,0.011182902545605167,0.00021319570025943237,0.6672252991227139,-0.0009701111889532932,-0.0008809649494969651,389.3153915405274,,389.31539154052734,386.7311492919922,,386.7311492919922
2021-06-09,SPY,423.1799926757813,423.260009765625,421.4100036621094,421.6499938964844,393.81390380859375,48436300,2026-05-17 16:56:22.201389,yfinance,-0.001492056076176529,0.0038328392928568267,0.009891929109302255,-0.001493170300304927,0.6647377054848027,0.00021321842807786595,0.0015728871073943385,-0.001492056076176529,,0.010182221943192182,-0.001493170300304927,0.6763267798415828,0.00021321842807786595,0.0015728871073943385,NYSE,-0.001492056076176529,0.0038328392928568267,0.009891929109302255,-0.001493170300304927,0.6647377054848027,0.00021321842807786595,0.0015728871073943385,389.6628341674805,,389.66283416748047,387.2143920898437,,387.2143920898437
2021-06-10,SPY,422.9599914550781,424.6300048828125,421.5499877929688,423.6099853515625,395.6444396972656,51020100,2026-05-17 16:56:22.201389,yfinance,0.004648225649142024,0.009388116394891677,0.014877776857535885,0.004637456008550564,0.672475781986531,-0.001492056076176529,-0.003711647430574061,0.004648225649142024,0.009388116394891677,0.008450871409820593,0.004637456008550564,0.6841187249759861,-0.001492056076176529,-0.003711647430574061,NYSE,0.004648225649142024,0.009388116394891677,0.014877776857535885,0.004637456008550564,0.672475781986531,-0.001492056076176529,-0.003711647430574061,390.5127548217774,,390.5127548217773,387.7538592529297,,387.7538592529297
